Clasificación,Entidad,Nombre del sitio,Dominio,Sitio activo,CMS,IP servidor,Certificado de seguridad,Estatus proyecto,Comentarios
CUyS,SEMS,Escuela Preparatoria 17,https://prepa17.sems.udg.mx/,Sí,D10,148.202.85.13,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria 18,http://prepa18.sems.udg.mx/,Sí,D7,148.202.85.13,No tiene,,
CUyS,SEMS,Escuela Preparatoria 19,https://prepa19.sems.udg.mx/,Sí,D10,148.202.86.12,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria 20,https://prepa20.sems.udg.mx/,Sí,D10,148.202.86.12,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria 21,https://prepa21.sems.udg.mx/,Sí,D7,"148,202,86,12",Activo,,
CUyS,SEMS,Escuela Preparatoria 22,https://prepa22.sems.udg.mx/,Sí,D7,148.202.86.12,Activo,,
CUyS,SEMS,Escuela Vocacional,https://voca.sems.udg.mx/,Sí,D10,148.202.85.22,Activo,Migrado y publicado,
CUyS,SEMS,Escuela politécnica de Guadalajara,https://politecnica.sems.udg.mx/,Sí,D7,148.202.85.18,Activo,,
CUyS,SEMS,Escuela politécnica Ing. Jorge Matute Remus,http://politecnicamatute.sems.udg.mx/,Sí,D7,148.202.85.3,No tiene,,
CUyS,SEMS,"Escuela Preparatoria de Tonalá ""Dra. Ruth Padilla Muñoz"" ",http://prepatonala.sems.udg.mx/,Sí,D7,148.202.85.15,No tiene,,
CUyS,SEMS,Escuela Preparatoria Regional de Tonalá Norte,https://prepatonalanorte.sems.udg.mx/,Sí,D7,148.202.85.12,Activo,,
CUyS,SEMS,Escuela Preparatoria de Tonalá Sur,http://prepatonalasur.sems.udg.mx/,Sí,D7,148.202.85.12,No tiene,,
CUyS,SEMS,Escuela de Educación Media Superior Wixárika,https://prepawixarika.sems.udg.mx/,Sí,D10,148.202.85.3,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Regional de Educación Media Superior de Ocotlán,https://eremso.sems.udg.mx/,Sí,D7,148.202.86.12,Activo,,
CUyS,SEMS,Preparatoria de San José del Valle de Tlajomulco de Zúñiga,http://prepasanjosedelvalle.sems.udg.mx/,Sí,D10,148.202.85.3,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Ahualulco de Mercado,http://prepaahualulco.sems.udg.mx/,Sí,D7,148.202.85.13,No tiene,,
CUyS,SEMS,Preparatoria Regional de Amatitán,http://prepaamatitan.sems.udg.mx/,Sí,D7,148.202.85.15,No tiene,,
CUyS,SEMS,Escuela Preparatoria Regional de Ameca,http://prepaameca.sems.udg.mx/,Sí,D7,148.202.85.15,No tiene,,
CUyS,SEMS,Escuela Preparatoria Regional de Arandas,http://prepaarandas.sems.udg.mx/,Sí,D7,148.202.85.13,No tiene,,
CUyS,SEMS,Escuela Preparatoria Regional de Atotonilco ,https://prepaatotonilco.sems.udg.mx/,Sí,D10,148.202.85.13,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Autlán,https://prepaautlan.sems.udg.mx/,Sí,D7,148.202.86.12,Activo,,
CUyS,SEMS,Escuela Preparatoria Regional de Casimiro Castillo,https://prepacasimiro.sems.udg.mx/,Sí,D10,148.202.86.12,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Chapala,http://prepachapala.sems.udg.mx/,Sí,D7,148.202.85.13,No tiene,,
CUyS,SEMS,Escuela Preparatoria Regional de Cihuatlán,https://prepacihuatlan.sems.udg.mx/,Sí,D10,148.202.86.12,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Ciudad Guzmán,https://prepaciudadguzman.sems.udg.mx/,Sí,D10,148.202.86.12,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Cocula,https://prepacocula.sems.udg.mx/,Sí,D10,148.202.85.15,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Colotlán,https://prepacolotlan.sems.udg.mx/,Sí,D10,148.202.85.13,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Degollado,https://prepadegollado.sems.udg.mx/,Sí,D10,148.202.85.13,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de El Arenal,http://prepaelarenal.sems.udg.mx/,Sí,D7,148.202.85.13,No tiene,,
CUyS,SEMS,Escuela Preparatoria Regional de El Grullo,https://prepaelgrullo.sems.udg.mx/,Sí,D10,148.202.86.12,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de El Salto,https://prepaelsalto.sems.udg.mx/,Sí,D10,148.202.86.12,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Etzatlán,https://prepaetzatlan.sems.udg.mx/,Sí,D10,148.202.85.13,Activo,Migrado y publicado,
CUyS,SEMS,Preparatoria Regional de Huejuquilla el Alto,https://prepahuejuquilla.sems.udg.mx/,Sí,D10,148.202.85.15,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Ixtlahuacán de los Membrillos,https://prepaixtlahuacan.sems.udg.mx/,Sí,D10,148.202.85.13,Activo,Migrado y publicado,
CUyS,SEMS,Preparatoria Regional de Jalostotitlán,https://prepajalostotitlan.sems.udg.mx/,Sí,D10,148.202.85.15,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Jamay,https://prepajamay.sems.udg.mx/,Sí,D10,148.202.85.13,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Jocotepec,https://prepajocotepec.sems.udg.mx/,Sí,D10,148.202.85.3,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de La Barca,https://prepalabarca.sems.udg.mx/,Sí,D10,148.202.85.13,Activo,Migrado y publicado,
CUyS,SEMS,Preparatoria Regional de Lagos de Moreno,https://prepalagosdemoreno.sems.udg.mx/,Sí,D10,148.202.85.15,Activo,Migrado y publicado,
CUyS,SEMS,"Preparatoria Regional de Mazamitla ""Lic. José Parres Arias""",https://prepamazamitla.sems.udg.mx/,Sí,D10,,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Puerto Vallarta (PrepaVallartaUDG),http://prepavallarta.sems.udg.mx/,Sí,D7,148.202.85.3,No tiene,,
CUyS,SEMS,Escuela Preparatoria Regional de San Juan de Los Lagos ,https://prepasanjuan.sems.udg.mx/,Sí,D7,148.202.86.12,Activo,,
CUyS,SEMS,Escuela Preparatoria Regional de San Martín Hidalgo,https://prepasanmartin.sems.udg.mx/,Sí,D10,148.202.86.12,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de San Miguel el Alto,https://prepasanmiguel.sems.udg.mx/,Sí,D10,148.202.86.12,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Santa Anita,http://prepasantaanita.sems.udg.mx/,Sí,D7,148.202.85.13,No tiene,,
CUyS,SEMS,Escuela Preparatoria Regional de Sayula,http://prepasayula.sems.udg.mx/,Sí,D7,148.202.85.13,No tiene,,
CUyS,SEMS,Escuela Preparatoria Regional de Tala,https://prepatala.sems.udg.mx/,Sí,D10,148.202.86.12,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Tamazula,https://prepatamazula.sems.udg.mx/,Sí,D10,148.202.85.13,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Tecolotlán,https://prepatecolotlan.sems.udg.mx/,Sí,D10,148.202.86.12,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Tepatitlán de Morelos ,https://prepatepatitlan.sems.udg.mx/,Sí,D10,148.202.86.12,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Tequila,https://prepatequila.sems.udg.mx/,Sí,D10,148.202.86.12,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Tlajomulco,http://prepatlajomulco.sems.udg.mx/,Sí,D7,148.202.85.13,No tiene,,
CUyS,SEMS,Preparatoria Regional de Toluquilla,http://prepatoluquilla.sems.udg.mx/,Sí,D7,148.202.85.15,No tiene,,
CUyS,SEMS,Escuela Preparatoria Regional de Tuxpan,http://prepatuxpan.sems.udg.mx/,Sí,D7,148.202.85.13,No tiene,,
CUyS,SEMS,Preparatoria Regional de Unión de Tula,https://prepauniondetula.sems.udg.mx/,Sí,D10,148.202.85.15,Activo,Migrado y publicado,
CUyS,SEMS,Preparatoria Regional de Villa Corona,https://prepavillacorona.sems.udg.mx/,Sí,D10,148.202.85.13,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Zacoalco,https://prepazacoalco.sems.udg.mx/,Sí,D10,148.202.85.3,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Zapotiltic,https://prepazapotiltic.sems.udg.mx/,Sí,D10,148.202.85.5,Activo,Migrado y publicado,
CUyS,SEMS,Escuela Preparatoria Regional de Zapotlanejo,https://prepazapotlanejo.sems.udg.mx/,Sí,D10,148.202.86.12,Activo,Migrado y publicado,
CUyS,SEMS,Sistema de Educación Media Superior,https://www.sems.udg.mx/,Sí,D10,148.202.34.72,Activo,Migrado y publicado,
AG,SIUBI,Biblioteca Digital UDG Universidad de Guadalajara,https://wdg.biblio.udg.mx/index.php,Sí,Otro,,Activo,,Joomla!
AG,SIUBI,Biblioteca Pública del Estado de Jalisco,https://bpej.udg.mx/,Sí,D9,148.202.34.141,Activo,Migrado de CMS,
AG,SIUBI,BiblioGuía,http://www.biblioguia.udg.mx/,No,D7,,No tiene,Solicitud de baja,
AG,SIUBI,Repositorio Institucional de la Universidad de Guadalajara,https://riudg.udg.mx/,Sí,Otro,,Activo,,DSpace
AG,SIUBI,Sistema Universitario de Bibliotecas,https://bibliotecas.udg.mx/,Sí,D10,148.202.248.76,Activo,NA,
AG,SIUBI,Biblioteca Iberoamericana,https://bibliotecaiberoamericana.udg.mx/,Sí,PHP,148.202.34.140,Activo,En proceso de migración,
AG,SIUBI,Centro Documental de Literatura Iberoamericana Carmen Balcell,https://cdcb.udg.mx/,Sí,D10,148.202.34.141,Activo,NA,
AG,SIUBI,Coloquio Internacional de Bibliotecarios,https://coloquiobibliotecarios.udg.mx/,Sí,D10,148.202.34.141,Activo,NA,
AG,UDGPlus,Dirección General de Universidad Virtual y Aprendizaje Digital Para Toda la Vida,https://udgplus.udg.mx/,Sí,D10,Externo,Activo,NA,
AG,VAAD,CGTA y Vicerrectoría Adjunta Administrativa,https://cgsait.udg.mx/,Sí,D10,148.202.34.141,Activo,NA,
AG,VAAD,Vicerrectoría Adjunta Administrativa,https://vicerrectoriaadministrativa.udg.mx/,Sí,D10,148.202.34.140,Activo,NA,
AG,VAAI,Vicerrectoría Adjunta Académica y de Investigación,https://vicerrectoriaacademica.udg.mx/,Sí,D10,148.202.34.141,Activo,Migrado y publicado,
AG,VAAI,Programa Nacional de Posgrados de Calidad,http://www.evaluacionpnpc.udg.mx/,Sí,D6,148.202.248.76,No tiene,,
AG,VAAI,Programa Nacional de Posgrados de Calidad (Especialidades Médicas),http://www.em.evaluacionpnpc.udg.mx/,Sí,D6,148.202.248.76,No tiene,,
AG,VAAI,Ciencia UDG,https://cienciaudg.mx/,Sí,D9,,Activo,,
AG,VE,Vicerrectoría Ejecutiva,https://vicerrectoria.udg.mx/,Sí,D7,148.202.248.76,Activo,En proceso de migración,
,,,mercaditovecino.udg.mx,No,Otro,,No tiene,,Boostrap
,,,www.toseconcausa.udg.mx,No,Otro,,No tiene,,Boostrap
AG,,,coloquiobibliotecarios2020.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,sesioncupia.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,test.anuiesrco.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,test.iam.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,cgedc.cultura.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,cursoswebcgsait.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,www.tusprioridades.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,qacucea.cgti.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,hostd7.udgcloud.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,www.coloquiobibliotecarios2018.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,www.coloquiobibliotecarios2019.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,hosting.udgcloud.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,76-248.servers.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,webhosting.cgti.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,www.c2013.evaluacionpnpc.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,www.icpc2018.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,www.coloquiobibliotecarios2017.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,www.sostenible.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,www.acaton.cutonala.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,qacuaad.cgti.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,redalumni.cgci.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,isum.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,dev.contingente.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,www.clad2018.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,ciaya5.udg.mx,No,,,No tiene,,Página Inaccesible
AG,,,compostela2019.udg.mx,No,,,No tiene,,Página Inaccesible
